text,label
"GACOR77 bonus new member 150% klik link di bio",1
"DAFTAR SEKARANG juga di SLOT88, maxwin tiap hari!!!",1
"ZEUS29 gacor parah min wd 5jt langsung cair",1
"link alternatif resmi anti rungkad, bonus deposit 100%",1
"MANTAP168 main disini auto jp scatter hitam",1
"join sekarang member baru dapat freebet tanpa deposit",1
"WIN777 RTP tinggi malam ini, gas gaskeun",1
"casino online terpercaya, proses wd cepat 24 jam",1
"BOOYAH31 slot gacor hari ini banyak yang jp",1
"daftar via wa admin untuk dapat bonus rollingan",1
"OLYMPUS88 gampang menang, modal receh cuan jutaan",1
"link vip member hoki terus, klik bio sekarang",1
"PRAGMATIC55 server thailand gacor parah malam ini",1
"main slot online deposit 10rb dapat bonus 50rb",1
"AKUN PRO77 bocoran pola gacor hari ini",1
"Videonya keren banget kak, kontennya bermanfaat!",0
"Terima kasih atas penjelasannya, sangat membantu",0
"Wah baru tau info ini, makasih ya kak",0
"Lanjutkan terus konten edukasinya, semangat!",0
"Bagian penjelasan algoritma tadi agak cepat, bisa diulang?",0
"Suka banget sama editingnya, rapi sekali",0
"Request dong bahas topik machine learning selanjutnya",0
"Pertama! Notifikasi langsung nyala nih",0
"Kak boleh share source code nya?",0
"Penjelasan rumus integralnya jelas banget, makasih",0
"Background musiknya enak buat nemenin belajar",0
"Mantap kak tutorialnya, langsung aku praktekkan",0
"Apakah ada part 2 untuk video ini kak?",0
"Saya masih bingung di bagian subnetting, ada referensi lain?",0
"Salam dari Yogyakarta, semoga sukses terus kontennya",0
"Kualitas video 4K nya jernih banget",0
"WAIT, JANGAN TERTIPU DENGAN YANG LAIN BOSKU, ((RASTA55)) SEDANG BAGI BAGI BERKAH AMANAH DAN TERPERCAYA",1
"MAIN DI PAGO110 ITU TIPE YANG BISA NGASIH TERUS KETIK AJA DI GOOGLE......... PAGO110........ PAGO110 PAGO110",1
"BERANI COBA? PROCUAN178 JAWABANNYA! MODAL TIPIS, TAPI BISA DAPAT HASIL MANIS SEKALI DAPAT, SUSAH BERHENTI!!!! PILIH YANG TENGAH BOSS",1
"Super bagus #PROCUAN178 SEMOGA REZEKINYA NULAR BOSS PILIH YANG TENGAH BOSS",1
"BEST BEST #TARA27 full bahagia~~GACOR~~ sat set pokoknya",1
"SUPER BAGUS #TARA27 SEMOGA REJEKINYA NULAR BOS",1
"Nggak expect apa-apa pas main di #TATO83, eh malah WD beneran. Proses cepat, aman cair, pelayanan mantap, nggak PHP. Gas terus sampai maxwin",1
"Visualnya rapi dan enak dilihat TATO83 SEMAKIN SUKSES AMIN SUPER BAGUS #TATO83 SEMOGA REJEKINYA NULAR BOS Udah paling mantap pokoknya TATO83 bikin harian makin ceria Sumpah keren favorit banget TATO83 tiap malem",1
"#MACANHOKI789",1
"Ternyata main di PETIR94 itu bener-bener bikin beruntung!",1
"RTP GACOR 98% ADA DI TERBAIK67.. DATA VALID, BUKAN HOAX PLAYER PINTER UDAH MASUK DULUAN",1
"Aduh beneran deh, di PETIR94 itu pelayanannya ramah banget, bikin betah!",1
"BERANI COBA? PROCUAN178 JAWABANNYA! MODAL TIPIS, TAPI BISA DAPAT HASIL MANIS SEKALI DAPAT, SUSAH BERHENTI!!!!! PILIH YANG TENGAH BOSS",1
"Super bagus 700 #PROCUAN178 700 SEMOGA REZEKINYA NULAR BOSS PILIH YANG TENGAH BOSS",1
"Zui jiā 🌠JOKERWIN404🌠 zài gǔgé shàng xuǎnzé páimíng dì yī de. Zài zhèlǐ, shènglì bùjǐn jǐn shì mèngxiǎng, ér shì xiànshí 🥇",1
"BEST ➡️💸💵MACANHOKI789💵💸full bahagia~GACOR~ sat set pokoknya✨",1
"TATO83 selalu hadir di saat yang pas, TATO83 emang jagonya hibur gue dan selalu di kasih menang, pilih yang paling atas bg 🎯",1
"BEST ➡️💸💵MACANHOKI789💵💸full bahagia~GACOR~ sat set pokoknya✨",1
"#MACANHOKI789 🥇💰□💙🥇💰□💙 HAPPY 💙□💰🥇💙□💰🥇",1
"#MACANHOKI789 🥇💰□💙🥇💰□💙 HAPPY 💙□💰🥇💙□💰🥇",1
"LEK💫 VAR56💫 INI NGACOR!! 🔥🔥 WORTH IT BANGET BUAT MAIN SANTAIII!! 😍✨💯",1
"BEST 🌊⛩️ KOMBO66 ⛩️🌊 full senyumGACOR sat set pokoknya",1
"LEK💫 VAR56💫 INI NGACOR!! 🔥🔥 WORTH IT BANGET BUAT MAIN SANTAIII!! 😍✨💯",1
"😈 BERANI COBA? PROCUAN178 JAWABANNYA! MODAL TIPIS, TAPI BISA DAPAT HASIL MANIS💸 SEKALI DAPAT,SUSAH BERHENTI!!!!! PILIH YANG TENGAH BOSS 🔥🔥",1
"Super bagus 💯 #PROCUAN178💯 SEMOGA REZEKINYA NULAR BOSS🤑 PILIH YANG TENGAH BOSS 🔥",1
"BEST ➡️ BEST ➡️ 💯🔥 #TARA27🔥💯full bahagiaGACORsat set pokoknya",1
"SUPER BAGUS ☯️ #TARA27☯️ SEMOGA REJEKINYA NULAR BOSS 🌌🌌",1
"semenjak kejadian 700rupiah menjadi 45juteee di ROMWD606,disitulah gua sadar betapa penting nya",1
"Main di mana bang",0
"gue dikasih tiap hri sama ( PoraJP ) broku😜",1
"Barusan saya juga di kasih main di PoraJp🤭",1
"Sukses selalu PoraJp☺️",1
"Nggak expect apa-apa pas main di ... eh malah WD beneran. Proses cepat, aman, cair, pelayanan mantap, nggak PHP. Gas terus sampai maxwin 🚀🚀",1
"visualnya rapi dan enak dilihat 🌸 TATO83 SEMAKIN SUKSES AMIN... SUPER BAGUS ... #TATO83 SEMOGA REJEKINYA NULAR BOS Udah paling mantap pokoknya TATO83 bikin harian makin ceria 🔥 Sumpah keren favorit banget TATO83 tiap malem",1
"#MACANHOKI789 ...",1
"Ternyata main di PETIR94 itu bener-bener bikin beruntung! 🎮",1
"RTP GACOR 98% ADA DI ... DATA VALID, BUKAN HOAX 🔥 PLAYER PINTER UDAH MASUK DULUAN 🔥😋",1
"Gaspol banget tiap hari makin jatuh cinta di PETIR94🔥",1
"Aduh beneran deh, di 🍀PETIR94🍀 itu pelayanannya ramah banget, bikin betah! ✨",1
"SUPER BAGUS 🔱🔱 #SAGANA43 🔱🔱 SEMOGA REJEKINYA NULAR BOS ✨☀️🔱 PALING ATAS DI GOGLE 💯 KEREN🏆",1
"Maplay789 emng the real MVP, selalu bikin bahagia",1
"Maplay789✅ Alhamdulillah menang lagi ketua🥺😘",1
"MAIN DI 🔥MAPLAY.789🔥 ITU TIPE NGASIH TERUS !!",1
"Maplay789_ 🌊🌊💙 Good Bless 🌊🌊💙🖤",1
"Alhamdulillah menang lagi derr Maplay789 💚🥺😘",1
"#MACANHOKI789 🥇💰💙 HAPPY",1
"#MACANHOKI789 🥇💰💙 HAVE FUN",1
"#MACANHOKI789 🥇💰💙",1
"MASHOKI_ 🧡💚💞 Pure Joy 🤎🖤💛",1
"MASHOKI_ 💙💚💘 Believe In You 💘💓",1
"🥰🦄MAS+HOKI",1
"Andalann kita kita nih @ꭑαρᥣα𝗒789",1
"@ꭑαρᥣα𝗒789 Semangatt truss pejuangg 🔥",1
"Aura main character-nya dapet bgt.",0
"🤍❣️MAS.HOKI",1
"𝘾𝙊𝙍𝘿𝙊𝘽𝘼𝟵𝟵 🌋 Этот чел выбрал эпик легендарно 🔥 💣",1
"🛡️𝘔𝘈𝘚𝘏𝘖𝘒𝘐 Автор показал уровень огонь 💀",1
"MASHOKI_ 💕💗💛 Golden Soul 💘💛",1
"Kuatoke 🫶️😹️brilliant exercise expression 🐚️⭐️",1
"Kuatoke 🎉🦴💛🥁🤍❤️📋🐱🎶😎🦷🌀🍓🦁🕊️⭐🌷🏄🎉⛰️Melody batu guru 💢😎⚙️",1
"Kuatoke 🐝🔬🧲🌄🐼🏰🌋✌️☕🍫🍫🍎🗺️📏🌄👅🫐📋🏐💝 Emas strategy 🌌🗺️💘🍎",1
"kuatoke 😄️kurasi laugh ⭐️",1
"💘️💛️Kuatoke 💖️🤍️❤️‍🔥️💝️❤️diskusi",1
"MASHOKI_ 💝🤍❤️Soul Mate 🤎💕🤍",1
"Kuatoke 🌧️🌧️📷🎇🍟🥁⚾🥹🔑🍮🎹📡🍎🦁🦆🌷🌩️🌷🎂🍇 Begin koneksi conservation strategi 🥇💖🏙️🎳",1
"Kuatoke 🤘️❤️‍🔥️instrumen suara 🐛️🍮️",1
"💖️💕️Kuatoke 🤍️💙️❤️‍🔥️💚️paper",1
"Mashoki 🎢⚡🍊🥝🧬🧁🌃📸💖🔬💯🌟👀🍎📡🏰🫐🐬🛸 Baja begin 🕌⭐🏸🤖",1
"@Nagajp23❤Always keep player ❤",1
"rumah baru nyaa messii😂",0
"🔥@Starjoker88⚡GoodLuck Brother",1
"@starjoker88✨The Best of Best✨✨",1
"Is the best🔥@Starjoker88⚡",1
"🪷🌙MAS-HOKI",1
"Aura lo emang mahal, nggak bisa didebatin.",0
"@MACANPLAY Gasskeun lagih",1
"veryy_good bestiee💕💕WAWAWIN68🙄🙄",1
"Andalan kuh @ᗰᗩᑕᗩᑎᑭᒪᗩY",1
"@ᗰᗩᑕᗩᑎᑭᒪᗩY Mampir kuy",1
"𝘾𝙊𝙍𝘿𝙊𝘽𝘼𝟵𝟵 😎 кто-то еще заметил это? 🔔 💫",1
"veryy_good bestiee💕💕WAWAWIN68🙄🙄",1
"#FYP TERUS MANTAP!💥~𝗥𝗠𝗔'𝟳𝟴𝟵",1
"💎💎NANAWIN38🌸🌸 Nikmatt bosque",1
"🍁🍁WAWAWIN68✨✨ Happy always bosque🎀",1
"@STARJOKER88 still.be.thewinner✨",1
"🥨🥨Kecintaaan_kita_🎠🎠@YUYUWIN38 🎨🎨",1
"@YUYUWIN38 💘_kebahagiaan_neh_bosku💚",1
"Geng500 sering jp maxwin",1
"@STARJOKER88 🥶🥶 Always JP 🥶🥶",1
"lah itu rumah messi yang baru😏",0
"I hope you quickly achieve your dream target and stay healthy ❤️‍🔥❤️‍🔥❤️‍🔥💯👍",0
"surga dunia",0
"mantap bang",0
"mantappp 💕💕💕MAMAJP58 🌻🌻",1
"@PAPAJP68 Kesayangan 😈",1
"dikaasi JP paus @YAYAWIN38 ⚡",1
"Paling asik dan santuy @HAHAWIN38",1
"dikaasi JP paus @BUNGAJP38 ⚡",1
"mantappp 💕💕💕MAMAJP58 🌻🌻",1
"ANAKJP68 ❤Always together ❤",1
"Apa itu kalah kalau anda tau sama (ꜱᴀɴɢʀᴀᴊᴏ)❤️🔥🙏",1
"Dri dulu sampe sekarang ( ꜱᴀɴɢʀᴀᴊᴏ ) tetap pilihan.",1
"Serius bikin senyum selalu jadi pilihan utama ( Sangrajo ) 😍",1
"(ꜱᴀɴɢʀᴀᴊᴏ)🤍'💞🐉❤️Suka banget sama editingnya! ❤️🐉💞",1
"Rekomendasi mantap emang di ( Sangrajo ) , selalu JP ketua!",1
"Sangrajo.Auto senyum lagi hari ini 🤩💯",1
"Sangrajo.Lagi dapet momen bagus 😆",1
"kuatoke 💟 terasa spesial",1
"Pilihan terbaik ( sangrajo )",1
"Cuma di ꜱᴀɴɢʀᴀᴊᴏ selalu ngasih",1
"Alhamdulillah Winner Lagi Di Sangrajo 🥰🤙",1
"@𝙍𝙤𝙠𝙚𝙩𝟱𝟰 🔍︎💛🌊ື💛ື🌊ື💛ື🌊ື🌊ື The Best Mahjong 💛ື🌊ື💛ື🌊ື💛🌊ື💛🌊ື💛🌊ື💛°𝘼°🤍🏵️",1
"Gara gw main di Medeᔰᗱ, sekarang terwujud juga impian gw beli motor stylo impian gw",1
"Semenjak kejadian di Medeᔰᗱ✅🗿Lima Ratus ribu menjadi TigaBelas Juta,disitulah gua sadar betapa pentingnya bersyukur",1
"gue yang brusan dikasih menang sama Medeᔰᗱ🗿 sembilanjuta santai aja wkwk",1
"kuatoke 💜💓 senja manis",1
"Sangrajo 🖤yang penting bukti nyata cuy",1
"×1000 turun bit 10rb apa g sultan mendadak yakan 🤧🤧",1
"iseng main di apk bwa modal 50 dikasih 3 jt 🤣",1
"Zeus yg di aplikasi mana yah🗿",0
"bang itu kakek zeus kan bukannya kakek saya",0
"pantes x500 GK pernah muncul 🤣",0
"pasan rungkat mulu hee ternyata lagi karnaval",0
"suruh wd inn🗿😂😂",0
"kake Zeus nya ikut karnaval",0
"pantes online lgi rungkat, ternyata kau malah offline ki ki",0
"pantesan rungkad terus, ternyata lagi karnaval 😳",0
"pantesan ga jp jp",0
"loh nyasar😂",0
"ptnsan aku zonk trs jebule gek budal karnaval😂",0
"pantes scater gw kopong..trnyata karnaval...🗿🗿",0
"mantap 🐤 ⋆ 🐸 🎀 𝒮𝓊𝓀𝒶𝒿𝓅 🎀 🐸 ⋆ 🐤 urutan pertama",1
"rindu suara maxwin di🐤 ⋆ 🐸 🎀 𝒮𝓊𝓀𝒶𝒿𝓅 🎀 🐸 ⋆ 🐤",1
"kalo saya member setia 🐤 ⋆ 🐸 🎀 𝒮𝓊𝓀𝒶𝒿𝓅 🎀 🐸 ⋆ 🐤 donggg",1
"hhhhh untuk aku ngk ikutan slot slat slot",0
"@YUYUWIN38 💘_kebahagiaan_neh_bosku💚",1
"Paling asik dan santuy @HAHAWIN38",1
"😂😂 tobat",0
"versi 🐤 ⋆ 🐸 🎀 𝒮𝓊𝓀𝒶𝒿𝓅 🎀 🐸 ⋆ 🐤 dong",1
"tobat lah",0
"@[𝗕𝗨𝗡𝗚𝗔𝟯𝟬]🫰𝗟𝗮𝗴𝗶 𝗠𝗮𝗻𝘁𝗮𝗽 𝗠𝗮𝗻𝘁𝗮𝗽 𝗻𝘆𝗮 𝗯𝗿𝗲𝘆𝘆🫣",1
"𝐈𝐍𝐓€𝐑𝐖𝐈𝐍_🕊️🪻🕊️Bikin susah move on💜⃟💟⃝💜⃞💟",1
"𝐈𝐍𝐓€𝐑𝐖𝐈𝐍 ☚--__💜💗 Always so strong 💗💜",1
"💗💕𝐈η𝐭є𝐫ω𝐢η_😘😘anti marketing lh pokok nya bree kuu",1
"✶✶ 𝐈𝐍𝐓€𝐑𝐖𝐈𝐍 ✶✶-※_-※_ 🎲👣✨⃝💙⃞✨⃝ SEMAKIN TERDEPAN👣🎲✨⃝💙⃞✨⃝👣",1
"𝐈𝐍𝐓€𝐑𝐖𝐈𝐍_✭❤️⃟💎⃝❤️⃞💎⃝kehadiranmu selalu ada❤️⃟💎⃝❤️⃞💎⃝",1
"@𝗕𝗨𝗡𝗚𝗔𝟯𝟬✴️𝗗𝗶𝗸𝗮𝘀𝗶𝗵 𝗥𝗲𝘀𝗲𝗸𝗶 𝗛𝗮𝗿𝗶 𝗜𝗻𝗶 𝗯𝗿𝗲🥰🥰",1
"𝐈𝐍𝐓€𝐑𝐖𝐈𝐍__ ♛❤️‍🔥💛bahagia slalu adiku❤️‍🔥💛💝❤️‍🔥💝❤️‍🔥",1
"@𝐑𝐀𝐓𝐔𝟖𝟗 ☮💲 Ř𝔞ⓣⓊ❽➈ 🏆😾☮💲 Ř𝔞ⓣⓊ❽➈ 🏆😾☮💲 Ř𝔞ⓣⓊ❽➈ 🏆😾☮💲 Ř𝔞ⓣⓊ❽➈ 🏆😾☮💲 Ř𝔞ⓣⓊ❽➈ 🏆😾☮💲 Ř𝔞ⓣⓊ❽➈ 🏆😾",1
"beli sketer 500rb isinya 30rb 🤦💆",0
"kakek merah juga gak kalah baik😁",0
"🤭",0
"saya cinta negara ini, karena warga nya sangat lucu lucu",0
"sdm mas😭",0
"@evrytwelve @saiaido 😅",0
"@tifffaannyyyy",0
"Lha nek entek bensine kyok opo yo...???",0
"bakat yang luar biasa 🥱",0
"prcya😂?",0
"bensinnya ikut ghoib bang😂😂",0
"ini emang ssngaja dibuat setingan bro , cuma buat lucu2an",0
"kok lucu tenan to lurr,,lek mu golek pangan",0
"kakek Zeus ketemu kratos",0
"ketemu daimos sekalian bg",0
"gokil😂",0
"cocok ni di gabungin sama firdaus",0
"masih hidup woy",0
"Lucu",0
"merinding 😱😱",0
"itu bukan nya stiker nya bus Armageddon ya",0
"Stikernya orang.",0
"oo",0
"@Nagajp23 ❤Always together ❤",1
"Gas",0
"itu bos besar lamborghini",0
"bukannya pengacara ya",0
"ngga itu pemilik lanborghini",0
"yakin? tau dari mana? bukan nya bos lamborghini itu Stephan Winkelmann ? dan kalo yg d video ini kakek @zeus.officiel_",0
"itu bukanya bos besar Lamborghini ya bukan pemilik situs ini😁",0
"lebih kaya Cristiano Ronaldo",0
"mau juga jadi pacar kakek nya 😭🤣",0
"rungkad Zeus sama princes nya lagi liburan",0
"angkat aku jadi cucu mu kakek Zeus 😌😂",0
"yeus lagi nyawit😭😭",0
"zeus ajah kerja buat cari makan eh lu malah kerja ngasih makan zeus",0
"itu zeuws sawit 😭",0
"@picee•manzπ @4Sidzzz_____ @b∆nd∆r•€|πt£♠ @"maanz🐊?",0
"ANJIRR KAAKE",0
"🔥🔥🔥👍",0
"ini orang yg bikin gw kehilangan sawah sama kebon😭😭",0
"Mantan suamiku kehilangan aku ,harta,usaha dan segalanya kenyamanan hidupnya🤣rasakan🤣",0
"beda kakk wkwk",0
"😅😅",0
"pertama",0
"kakek zeus",0
"plot twistnya kalo dia ternyata Zeus beneran dari dunia kuno gimana?😁",0
"Socrates 👍",0
"oo jadi ini admin slot",0
"raja judi slot",0
"Orang itu lagi,, 2 periode monako",0
"🤣😂😅",0
"@ .",0
"𝙥𝙣𝙩𝙖𝙨 𝙝𝙪𝙟𝙖𝙣 𝙥𝙖𝙜𝙞 𝙣𝙣",0
"bujang 😭🤣😂",0
"jeus turun ke bumi ⚡⚡⚡⚡",0
"sebenarnya siapa sih kakek itu",0
"slm hdr mlm",0
"👍trmksh aamiin yrb",0
"👍👍👍🙏🙏🙏🇮🇩🇲🇾",0
"👍👍🤩🤩🤝🤝",0
"Meledak terus Kumis5l0t",1
"Kumis5l0t tiada dua nya",1
"klo aku jd pemerintah akan sowan ke rumah kakek zeus bawa pete sm ayam, trs minta tolong agar judol tdk masuk ke indo.",0
"GAK BISA BERPALING DARI Kumis5l0t",1
"MEMANG PALING BENAR Kumis5l0t",1
"mat malam👍👍👍🥰🥰🥰",0
"im gay",0
"Someone make this a sticker",0
"All of us watching this",0
"Gelar perguruan tinggi, empat buku, dan ribuan artikel. Tapi masih saja aku salah membaca, kau menuliskan padaku Selamat pagi dan aku membacanya aku mencintaimu.",0
"Dari semua kebetulan di dunia, kau adalah satu-satunya yang membuatku percaya bahwa tak sengaja bisa seindah ini",0
"abang eboy langgeng terus sm zahrongg yaa❤️",0
"cowo gue repost",0
"bangggggg eby aakhhhhhhhh pacaran bertiga ajaa yokkk tak sanggup akuuuu iniiii😅🥰",0
"Abang angin belakangan ini sangat kencang saling berpegangan yahh, adek butuh genggaman yang kuat dari Abang, saling menjadi rumah satu sama lain yahh aku sayang kalian berdua🤏🦖🐇",0
"untuk yg punya akun bingung kak tiba2 pasukan dino dan kelinci 🦖 🐇pada mampir??😂😂😂",0












